Gesture Number,Duration (s),Timestamp,Severity Level
4,0.085656,04-11-2025 23:17,0
5,0.084985,04-11-2025 23:17,0
6,0.113445,04-11-2025 23:17,0
7,0.087898,04-11-2025 23:17,0
8,0.114609,04-11-2025 23:17,0
9,0.086549,04-11-2025 23:17,0
10,0.08528,04-11-2025 23:17,0
11,0.115564,04-11-2025 23:17,0
12,0.088122,04-11-2025 23:17,0
13,0.087439,04-11-2025 23:17,0
14,0.11645,04-11-2025 23:17,0
1,0.124253,05-11-2025 20:08,1
2,0.061619,05-11-2025 20:08,1
3,0.030454,05-11-2025 20:08,1
4,0.060707,05-11-2025 20:08,1
5,0.030129,05-11-2025 20:08,1
6,0.090768,05-11-2025 20:08,1
7,0.030061,05-11-2025 20:08,1
8,0.030513,05-11-2025 20:08,1
9,0.031393,05-11-2025 20:08,1
10,0.061045,05-11-2025 20:08,1
1,0.092876,05-11-2025 20:09,0
2,0.061337,05-11-2025 20:09,0
3,0.030942,05-11-2025 20:09,0
4,0.060506,05-11-2025 20:09,0
5,0.063067,05-11-2025 20:09,0
6,0.059773,05-11-2025 20:09,0
7,0.062025,05-11-2025 20:09,0
8,0.089917,05-11-2025 20:09,0
9,0.091088,05-11-2025 20:09,0
10,0.060272,05-11-2025 20:09,0
11,0.030068,05-11-2025 20:09,0
12,0.059639,05-11-2025 20:09,0
13,0.058976,05-11-2025 20:09,0
14,0.059407,05-11-2025 20:09,0
15,0.031254,05-11-2025 20:09,0
16,0.0584,05-11-2025 20:09,0
17,0.059955,05-11-2025 20:09,0
1,0.088623,05-11-2025 20:09,0
2,0.08741,05-11-2025 20:09,0
3,0.086911,05-11-2025 20:09,0
4,0.087548,05-11-2025 20:09,0
5,0.115375,05-11-2025 20:09,0
6,0.087111,05-11-2025 20:09,0
7,0.1163,05-11-2025 20:09,0
8,0.116014,05-11-2025 20:09,0
9,0.117349,05-11-2025 20:09,0
10,0.087803,05-11-2025 20:09,0
11,0.087715,05-11-2025 20:09,0
12,0.148887,05-11-2025 20:09,0
13,0.117257,05-11-2025 20:09,0
14,0.117172,05-11-2025 20:09,0
15,0.146943,05-11-2025 20:09,0
1,0.219475,05-11-2025 20:09,0
2,0.118066,05-11-2025 20:09,0
3,0.118947,05-11-2025 20:09,0
4,0.088214,05-11-2025 20:09,0
5,0.08744,05-11-2025 20:09,0
6,0.089419,05-11-2025 20:09,0
7,0.087702,05-11-2025 20:09,0
8,0.091497,05-11-2025 20:09,0
9,0.096147,05-11-2025 20:09,0
10,0.086973,05-11-2025 20:09,0
11,0.087265,05-11-2025 20:09,0
12,0.088324,05-11-2025 20:09,0
13,0.089934,05-11-2025 20:09,0
1,0.15594,05-11-2025 20:10,2
2,0.085242,05-11-2025 20:10,2
3,0.087576,05-11-2025 20:10,2
4,0.085922,05-11-2025 20:10,2
5,0.087273,05-11-2025 20:10,2
6,0.086715,05-11-2025 20:10,2
7,0.08778,05-11-2025 20:10,2
8,0.087067,05-11-2025 20:10,2
9,0.029962,05-11-2025 20:10,2
10,0.111,05-11-2025 20:10,2
11,0.057188,05-11-2025 20:10,2
12,0.114944,05-11-2025 20:10,2
13,0.066206,05-11-2025 20:10,2
14,0.087999,05-11-2025 20:10,2
15,0.05638,05-11-2025 20:10,2
16,0.086916,05-11-2025 20:10,2
17,0.086236,05-11-2025 20:10,2
18,0.057536,05-11-2025 20:10,2
1,0.543337,05-11-2025 20:11,0
2,0.053208,05-11-2025 20:11,0
3,0.03803,05-11-2025 20:11,0
